Card Name,Old Board/List Name,New Board/List Name,Timestamp of Movement

Create Signup,Created,Trello Tracker / To Do,2025-01-17T01:07:33.326Z
Create Login,Trello Tracker / In Progress,Trello Tracker / Done,2025-01-16T14:10:16.312Z
Create Login,Trello Tracker / To Do,Trello Tracker / In Progress,2025-01-16T13:56:37.265Z
Create Login,Created,Trello Tracker / To Do,2025-01-16T12:58:24.267Z
Project planning,Created,Trello Card Movement Tracker / To do,2025-01-16T12:08:14.395Z
Kickoff meeting,Created,Trello Card Movement Tracker / To do,2025-01-16T12:08:14.216Z
Create Signup,Created,Trello Tracker / To Do,2025-01-17T01:07:33.326Z
Create Login,Trello Tracker / In Progress,Trello Tracker / Done,2025-01-16T14:10:16.312Z
Create Login,Trello Tracker / To Do,Trello Tracker / In Progress,2025-01-16T13:56:37.265Z
Create Login,Created,Trello Tracker / To Do,2025-01-16T12:58:24.267Z
Project planning,Created,Trello Card Movement Tracker / To do,2025-01-16T12:08:14.395Z
Kickoff meeting,Created,Trello Card Movement Tracker / To do,2025-01-16T12:08:14.216Z
Create Signup,Created,Trello Tracker / To Do,2025-01-17T01:07:33.326Z
Create Login,Trello Tracker / In Progress,Trello Tracker / Done,2025-01-16T14:10:16.312Z
Create Login,Trello Tracker / To Do,Trello Tracker / In Progress,2025-01-16T13:56:37.265Z
Create Login,Created,Trello Tracker / To Do,2025-01-16T12:58:24.267Z
Project planning,Created,Trello Card Movement Tracker / To do,2025-01-16T12:08:14.395Z
Kickoff meeting,Created,Trello Card Movement Tracker / To do,2025-01-16T12:08:14.216Z
